name,type,brand,weight,size,price
JBL Flip 5,Portable Speaker,JBL,540g,181 x 69 x 74 mm,99.95 USD
Bose SoundLink Mini II,Portable Speaker,Bose,667g,180 x 51 x 58 mm,199.95 USD
Sony SRS-XB12,Portable Speaker,Sony,243g,74 x 92 x 75 mm,59.99 USD
UE Megaboom 3,Portable Speaker,Ultimate Ears,925g,225 x 87 mm,199.99 USD
Sonos One,Smart Speaker,Sonos,1.85kg,161.45 x 119.7 x 119.7 mm,199.00 USD
Apple HomePod,Smart Speaker,Apple,2.5kg,172 x 142 mm,299.00 USD
LG XBOOM Go PL7,Portable Speaker,LG,1.3kg,106 x 189 x 107 mm,129.99 USD
Samsung HW-Q60T,Soundbar,Samsung,3.6kg,985 x 58 x 105 mm,349.99 USD
Harman Kardon Citation 500,Smart Speaker,Harman Kardon,7.6kg,320 x 166 x 295 mm,699.95 USD
JBL PartyBox 310,Party Speaker,JBL,17.42kg,325.6 x 687.7 x 367.8 mm,499.95 USD
Bose SoundTouch 10,Wireless Speaker,Bose,1.87kg,214 x 141 x 87 mm,199.95 USD
Sony SRS-X9,Hi-Fi Speaker,Sony,5.7kg,430 x 133 x 125 mm,699.99 USD
UE Wonderboom 2,Portable Speaker,Ultimate Ears,420g,104 x 95.3 mm,99.99 USD
Sonos Play:5,Smart Speaker,Sonos,6.36kg,203 x 364 x 154 mm,499.00 USD
Apple HomePod mini,Smart Speaker,Apple,345g,84.3 x 97.9 mm,99.00 USD
LG SL8YG,Soundbar,LG,7.5kg,1060 x 57 x 119 mm,499.99 USD
Samsung HW-Q950T,Soundbar,Samsung,20.6kg,1232 x 69.5 x 138 mm,1799.99 USD
Harman Kardon Aura Studio 3,Bluetooth Speaker,Harman Kardon,2.67kg,234 x 232 x 225 mm,299.95 USD
JBL Charge 4,Portable Speaker,JBL,965g,220 x 95 x 93 mm,179.95 USD
Bose Soundbar 500,Soundbar,Bose,3.18kg,80 x 97.8 x 10.8 cm,549.95 USD
Sony SRS-RA3000,Wireless Speaker,Sony,2.5kg,325 x 247 x 160 mm,299.99 USD
UE Boom 3,Portable Speaker,Ultimate Ears,608g,184 x 73 x 73 mm,149.99 USD
Sonos Move,Smart Speaker,Sonos,3kg,240 x 160 x 126 mm,399.00 USD
Apple HomePod (2022),Smart Speaker,Apple,3.5kg,210 x 143 mm,329.00 USD
LG SN11RG,Soundbar,LG,6.3kg,1443 x 63 x 146 mm,1499.99 USD
Samsung HW-S60A,Soundbar,Samsung,3.3kg,764 x 58 x 130 mm,329.99 USD
Harman Kardon Onyx Studio 6,Bluetooth Speaker,Harman Kardon,2948g,284 x 291 x 128 mm,479.95 USD
JBL Xtreme 3,Portable Speaker,JBL,1.97kg,298 x 136 x 134 mm,349.95 USD
